Document Name,Document Path,Question
Research Applications and Services.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services.md,"Which specific research applications, such as Github Enterprise and LabArchives Notebook, are operated or supported by Wash U IT Research Information Services?"
Research Applications and Services.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Research Applications and Services.md,What is the purpose of the user documentation for Research Applications and Services?
RIS Compute Seminars from April 2020.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute Workshops/RIS Compute Seminars from April 2020.md,Where can I find a video seminar on how to manage my storage allocation for RIS?
RIS Compute Seminars from April 2020.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute Workshops/RIS Compute Seminars from April 2020.md,I have experience with traditional High-Performance Computing (HPC); is there a specific seminar to help me transition to using RIS computing?
RIS Compute Seminars from April 2020.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute Workshops/RIS Compute Seminars from April 2020.md,Are there any training videos that cover the basics of using Python within a Docker container?
RIS Compute Seminars From Fall 2021.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute Workshops/RIS Compute Seminars From Fall 2021.md,"What seminar demonstrates how to submit a job to a GPU host, use the RAPIDS AI GPU-accelerated Docker container, and run a Random Forest classification task?"
RIS Compute Seminars From Fall 2021.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute Workshops/RIS Compute Seminars From Fall 2021.md,"Where can I learn how to write shell scripts, create a simple Docker container, and use the SSH protocol to connect to the RIS Scientific Compute Platform?"
RIS Compute Seminars From Fall 2021.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute Workshops/RIS Compute Seminars From Fall 2021.md,Is there a workshop that provides an introduction to performing single-cell RNA sequencing (scRNA-seq) data analysis on the RIS Scientific Compute Platform using R packages?
Nvidia Workshop - September 2020.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute Workshops/Nvidia Workshop - September 2020.md,"What are the specific LSF `bsub` command parameters required to run the Nvidia Workshop job, including the compute group (`-G`), queue (`-q`), and Docker image?"
Nvidia Workshop - September 2020.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute Workshops/Nvidia Workshop - September 2020.md,How do I connect to my Nvidia workshop job's GUI using SSH port forwarding if I am not connected to the MedSchool VPN?
Nvidia Workshop - September 2020.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Compute Workshops/Nvidia Workshop - September 2020.md,"Where can I access the seminar repository containing the Jupyter notebooks, code, and example data for the September 2020 Nvidia workshop?"
Docker Tutorial.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Docker/Docker Tutorial.md,"How do I run a Docker container, like `username/docker-example:latest`, on the RIS Compute1 Platform while ensuring the container's internal environment variables are used?"
Docker Tutorial.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Docker/Docker Tutorial.md,"After creating a Dockerfile in a directory named `docker-example`, what are the specific `docker build` and `docker push` commands to build an image tagged as `username/docker-example:latest` and upload it to Docker Hub?"
Docker Tutorial.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Docker/Docker Tutorial.md,What is the one-time `bsub` command required to log in to my Docker Hub account on the Compute1 Platform before I can start building images in that environment?
Installing Python Packages In Your Docker Container.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Docker/Installing Python Packages In Your Docker Container.md,"What are the primary trade-offs between using `pip` with a Linux package manager versus `conda` for installing Python packages inside a Docker container, particularly regarding build time, final container size, and handling non-Python dependencies?"
Installing Python Packages In Your Docker Container.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Docker/Installing Python Packages In Your Docker Container.md,"How do I create a Dockerfile that starts from the `python:3.7.7-slim-stretch` image, installs the `spaCy` library using `pip` with the `--no-cache-dir` option to save space, and copies a local `script.py` file into the container's root directory?"
Installing Python Packages In Your Docker Container.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Docker/Installing Python Packages In Your Docker Container.md,"What are the two `docker` commands used to first build an image named `spacy` with a tag of `pip` (e.g., `dockerhub_username/spacy:pip`) and then push that same image to a Docker Hub repository?"
"Docker Basics_ Building, Tagging, & Pushing A Custom Docker Image.md","/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Docker/Docker Basics_ Building, Tagging, & Pushing A Custom Docker Image.md",How do I run a custom Docker container from Docker Hub on the Compute1 cluster using the `bsub` command with the `workshop-interactive` queue?
"Docker Basics_ Building, Tagging, & Pushing A Custom Docker Image.md","/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Docker/Docker Basics_ Building, Tagging, & Pushing A Custom Docker Image.md","In a Dockerfile, what is the full `RUN` command to install `r-base`, `python3`, and `git` using `apt-get` while also cleaning the cache to save space?"
"Docker Basics_ Building, Tagging, & Pushing A Custom Docker Image.md","/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Docker/Docker Basics_ Building, Tagging, & Pushing A Custom Docker Image.md",What is the syntax for the `docker build` command to build an image from the current working directory and simultaneously tag it with the format `your_dockerhub_username/image_name:tag`?
Non-RIS Docker Images.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Non-RIS Docker Images.md,"What should I do if I encounter the ""CommandNotFoundError: Your shell has not been properly configured to use 'conda activate'"" error when working in a Docker container on Compute1?"
Non-RIS Docker Images.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Non-RIS Docker Images.md,How do I run a GPU-enabled Jupyter session on Compute1 using the RAPIDS Docker image and connect to it from my browser?
Non-RIS Docker Images.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Non-RIS Docker Images.md,"What are the commands to run RStudio version 4.1.0 on Compute1, including the initial setup to create a directory for database files and the `bsub` command with the correct volume and port mappings?"
Compute2 Applications.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute2 Applications.md,What is the current development status of the RIS User Documentation for the Compute2 Platform?
Compute2 Applications.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute2 Applications.md,"How are RIS-maintained applications like Python, R, and the Intel OneAPI suite accessed on the Compute2 platform?"
Compute2 Applications.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute2 Applications.md,"Where can I find the list of applications, such as Jupyter, Matlab, and Apptainer, that are installed and supported by RIS on the Compute2 platform?"
Compute1 Applications.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications.md,What are the two different methods for making applications available on the RIS Compute1 Platform?
Compute1 Applications.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications.md,Where can I find the list of applications that are installed as part of the THPC platform?
Compute1 Applications.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications.md,What kind of containers has RIS developed for the Compute1 platform and where can I find a list of them?
Compute2 Nextflow.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute2 Applications/Compute2 Nextflow.md,"How do I obtain the default `nextflow.config` file for use on Compute2, and where should this file be placed?"
Compute2 Nextflow.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute2 Applications/Compute2 Nextflow.md,"What is the command to run a test Nextflow pipeline like `nf-core/rnaseq`, and what is the rule about where this command must be executed?"
Compute2 Nextflow.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute2 Applications/Compute2 Nextflow.md,Are DSL1-based Nextflow pipelines supported for use on the RIS Compute2 platform?
Compute2 Podman.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute2 Applications/Compute2 Podman.md,Why must I run Podman builds within a SLURM job on Compute2?
Compute2 Podman.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute2 Applications/Compute2 Podman.md,"When using Podman on Compute2, why do I need to set the `XDG_CONFIG_HOME`, `XDG_DATA_HOME`, and `XDG_RUNTIME_DIR` variables before starting the SLURM job?"
Compute2 Podman.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute2 Applications/Compute2 Podman.md,How can I access files in my `storage2` or `scratch2` directories during a `podman build` or `podman run` on Compute2?
RIS Developed Containers.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers.md,"What is the difference between a ""Hosted and Maintained"" Docker image and a ""Developed But Not Maintained"" Docker file provided by RIS?"
RIS Developed Containers.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers.md,"Which software applications, such as MATLAB, Rstudio, or AlphaFold, are available as Docker images that are both hosted and actively maintained by RIS?"
RIS Developed Containers.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers.md,"If I use a ""Developed But Not Maintained"" Docker file, such as the one for Globus CLI or the Web Development Container, who is responsible for its upkeep?"
THPC Installed Applications.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/THPC Installed Applications.md,What is the process for requesting an application that is not found on the THPC installed applications list?
THPC Installed Applications.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/THPC Installed Applications.md,"Some applications, such as `abaqus` and `comsol`, are marked with an asterisk (*). What does this signify and where can I find instructions to access them?"
THPC Installed Applications.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/THPC Installed Applications.md,"What methods are available for running installed THPC applications, and is there an option for visualization or a graphical user interface?"
noVNC.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/noVNC.md,"When running an interactive GUI session in Open OnDemand, what specific environment variables and Docker image name are needed to launch the RIS noVNC container?"
noVNC.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/noVNC.md,"How can I change the default 1024x768 display size for a noVNC graphical session, and what are the specific environment variables required?"
noVNC.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/noVNC.md,"How can I extend the `ghcr.io/washu-it-ris/novnc:ubuntu22.04` Docker image to install additional software, such as the `bison` package?"
Globus Connect Personal.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Globus Connect Personal.md,"How do I run the initial setup for a Globus Connect Personal endpoint in a Docker container on Compute1, and what directories must be included in the `bsub` command?"
Globus Connect Personal.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Globus Connect Personal.md,"After the initial setup, what is the full `bsub` command to start the Globus Connect Personal client, and why is it important to specify a particular `compute1-exec-N` node?"
Globus Connect Personal.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Globus Connect Personal.md,"If I am a member of more than one compute group, what flag or variable do I need to add to the `bsub` command to specify an LSF User Group for a Globus job?"
Parabricks.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Parabricks.md,"What is the sample `bsub` command for running a single-GPU Parabricks job, and what environment variables for scratch space, storage, and Docker settings should be exported first?"
Parabricks.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Parabricks.md,How do I resolve Parabricks job failures caused by the software attempting to use GPUs that were not reserved for the job?
Parabricks.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Parabricks.md,"What are the recommended CPU thread and memory (RAM) allocations for a Parabricks job when using 1, 2, or 4 GPUs?"
Intel® Compiler Base.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Intel® Compiler Base.md,How can I start an interactive command-line session to use the Intel® oneAPI HPC Toolkit on the RIS compute platform?
Intel® Compiler Base.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Intel® Compiler Base.md,What are the differences between using a multi-stage versus a single-stage Dockerfile build with the Intel® Compiler Base image?
Intel® Compiler Base.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Intel® Compiler Base.md,How does a multi-stage Docker build reduce final image size and protect source code when compiling with the Intel® oneAPI HPC Toolkit?
AFNI_TORTOISE.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/AFNI_TORTOISE.md,"What specific software tools are included in the `gcr.io/ris-registry-shared/afni-tortoise` Docker image, and is a graphical user interface (GUI) available?"
AFNI_TORTOISE.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/AFNI_TORTOISE.md,"What is the command to perform the initial setup for the AFNI/TORTOISE environment, and which files does this process create or modify in the compute home directory?"
AFNI_TORTOISE.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/AFNI_TORTOISE.md,"After the initial setup, what is the `bsub` command to run an interactive session with a specific version of the `gcr.io/ris-registry-shared/afni-tortoise` container on the LSF cluster?"
SAS.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/SAS.md,"What are the two application options within Open On Demand for starting a SAS GUI session, and how does the launch process differ for each?"
SAS.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/SAS.md,"After launching a 'Compute RIS Desktop' session, what specific commands must be run in the terminal to load and launch SAS?"
SAS.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/SAS.md,"If I am a member of more than one compute group, what is required to specify my LSF User Group when starting an interactive command-line session for SAS?"
Integrative Genomics Viewer.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Integrative Genomics Viewer.md,How can I customize the IGV Docker build to use a version different from the default v2.9.4?
Integrative Genomics Viewer.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Integrative Genomics Viewer.md,"What is the complete `bsub` command for submitting an interactive IGV job on compute1, and which part of the command must be replaced with my specific Docker image location?"
Integrative Genomics Viewer.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Integrative Genomics Viewer.md,"Once my IGV job is running on a compute node like `compute1-exec-187.ris.wustl.edu`, how do I construct the VNC access URL and what command must I run to launch the IGV application?"
cisTEM.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/cisTEM.md,"To launch a `cisTEM` GUI session in RIS, what specific Docker image path and environment variables must I provide within the ""Custom noVNC Image"" application?"
cisTEM.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/cisTEM.md,How can I change the default 1024x768 display size for a `cisTEM` GUI session?
cisTEM.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/cisTEM.md,"After launching an interactive session for the `cisTEM` container, what command must be run in the terminal to start the application?"
THPC.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/THPC.md,How does the THPC image handle software installation differently from other Docker images to reduce its size and load times?
THPC.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/THPC.md,"When starting a THPC command-line job with `bsub`, what environment variables and parameters are required to specify the software build release and a CPU microarchitecture like 'skylake'?"
THPC.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/THPC.md,"If I encounter an error with a community-managed module like 'keysight', what command can I use within my job session to find contact information for support?"
RoseTTAFold All-Atom.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/RoseTTAFold All-Atom.md,"What user-specific variables, such as paths and compute group, must I define in the `bsub-non-interactive.sh` script before running a RoseTTAFold All-Atom job?"
RoseTTAFold All-Atom.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/RoseTTAFold All-Atom.md,"When creating a custom inference YAML file for a RoseTTAFold All-Atom job, what settings must be included and how should the path to an input FASTA file like `K7N608.fasta` be formatted?"
RoseTTAFold All-Atom.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/RoseTTAFold All-Atom.md,"How do I launch a non-interactive RoseTTAFold All-Atom job using the `bsub-non-interactive.sh` script, and what file type should I look for in my output directory to confirm a successful run?"
AlphaFold.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/AlphaFold.md,What environment variables must be set to prepare the computing environment for an AlphaFold job?
AlphaFold.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/AlphaFold.md,What is the full `bsub` command to submit an AlphaFold v2.2.0 job for a monomer using the `reduced_dbs` preset with 8 cores and 8GB of memory?
AlphaFold.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/AlphaFold.md,"How do I modify the job submission command to specify a particular GPU model, such as a V100 or A100, for an AlphaFold run?"
Web Development Container.md,/storage2/fs1/dt-summer-corp/Active/common/users/c.daedalus/RIS_docs/RIS User Documentation/Applications/Compute1 Applications/RIS Developed Containers/Web Development Container.md,"What specific software components, such as Apache2 and MariaDB, are included in the RIS Web Development Container?"
